Time[s], data, clock, present
0, 1, 1, 1
2.064123, 1, 1, 0
2.066268, 1, 0, 0
2.066764, 1, 1, 0
2.06777, 1, 0, 0
2.068266, 1, 1, 0
2.069272, 1, 0, 0
2.069768, 1, 1, 0
2.070774, 1, 0, 0
2.0712695, 1, 1, 0
2.072276, 1, 0, 0
2.0727715, 1, 1, 0
2.073778, 1, 0, 0
2.0742735, 1, 1, 0
2.07528, 1, 0, 0
2.0757755, 1, 1, 0
2.076782, 1, 0, 0
2.0772775, 1, 1, 0
2.0782835, 1, 0, 0
2.0787795, 1, 1, 0
2.0797855, 1, 0, 0
2.0802815, 1, 1, 0
2.0812875, 1, 0, 0
2.0817835, 1, 1, 0
2.0827895, 1, 0, 0
2.0832855, 1, 1, 0
2.0842915, 1, 0, 0
2.0847875, 1, 1, 0
2.0857935, 1, 0, 0
2.0862895, 1, 1, 0
2.0872955, 1, 0, 0
2.0877915, 1, 1, 0
2.0887975, 1, 0, 0
2.089293, 1, 1, 0
2.0902995, 1, 0, 0
2.090795, 1, 1, 0
2.0918015, 1, 0, 0
2.092297, 1, 1, 0
2.0933035, 1, 0, 0
2.093799, 1, 1, 0
2.0948055, 1, 0, 0
2.095301, 1, 1, 0
2.096307, 1, 0, 0
2.096803, 1, 1, 0
2.097809, 1, 0, 0
2.098305, 1, 1, 0
2.099311, 1, 0, 0
2.099807, 1, 1, 0
2.100813, 1, 0, 0
2.101309, 1, 1, 0
2.102364, 1, 0, 0
2.1028605, 1, 1, 0
2.1033575, 0, 1, 0
2.103868, 0, 0, 0
2.1043645, 0, 1, 0
2.105372, 0, 0, 0
2.1058685, 0, 1, 0
2.106365, 1, 1, 0
2.1068765, 1, 0, 0
2.107373, 1, 1, 0
2.1078695, 0, 1, 0
2.1083805, 0, 0, 0
2.108877, 0, 1, 0
2.1093735, 1, 1, 0
2.109954, 1, 0, 0
2.11045, 1, 1, 0
2.1114585, 1, 0, 0
2.1119545, 1, 1, 0
2.112963, 1, 0, 0
2.113459, 1, 1, 0
2.114467, 1, 0, 0
2.1149635, 1, 1, 0
2.1159715, 1, 0, 0
2.116468, 1, 1, 0
2.116965, 0, 1, 0
2.117538, 0, 0, 0
2.1180345, 0, 1, 0
2.1185315, 1, 1, 0
2.1190425, 1, 0, 0
2.119539, 1, 1, 0
2.120547, 1, 0, 0
2.1210435, 1, 1, 0
2.1220515, 1, 0, 0
2.122548, 1, 1, 0
2.123556, 1, 0, 0
2.124052, 1, 1, 0
2.124549, 0, 1, 0
2.125136, 0, 0, 0
2.125632, 0, 1, 0
2.126129, 1, 1, 0
2.12664, 1, 0, 0
2.1271365, 1, 1, 0
2.1281445, 1, 0, 0
2.128641, 1, 1, 0
2.129649, 1, 0, 0
2.1301455, 1, 1, 0
2.1311535, 1, 0, 0
2.13165, 1, 1, 0
2.1321465, 0, 1, 0
