Time[s], data, clock, present
2.1913405, 1, 0, 0
2.1918365, 1, 1, 0
2.1928445, 1, 0, 0
2.193341, 1, 1, 0
2.193838, 0, 1, 0
2.194411, 0, 0, 0
2.1949075, 0, 1, 0
2.195915, 0, 0, 0
2.1964115, 0, 1, 0
2.1969085, 1, 1, 0
2.1974195, 1, 0, 0
2.197916, 1, 1, 0
2.198413, 0, 1, 0
2.1989235, 0, 0, 0
2.19942, 0, 1, 0
2.1999165, 1, 1, 0
2.200428, 1, 0, 0
2.2009245, 1, 1, 0
2.201421, 0, 1, 0
2.202008, 0, 0, 0
2.202504, 0, 1, 0
2.203001, 1, 1, 0
2.2035125, 1, 0, 0
2.2040085, 1, 1, 0
2.2045055, 0, 1, 0
2.205016, 0, 0, 0
2.2055125, 0, 1, 0
2.20652, 0, 0, 0
2.2070165, 0, 1, 0
2.2075135, 1, 1, 0
2.2080245, 1, 0, 0
2.208521, 1, 1, 0
2.209018, 0, 1, 0
2.209591, 0, 0, 0
2.2100875, 0, 1, 0
2.211095, 0, 0, 0
2.2115915, 0, 1, 0
2.212088, 1, 1, 0
2.2125995, 1, 0, 0
2.213096, 1, 1, 0
2.2135925, 0, 1, 0
2.2141035, 0, 0, 0
2.2145995, 0, 1, 0
2.2150965, 1, 1, 0
2.215608, 1, 0, 0
2.216104, 1, 1, 0
2.216601, 0, 1, 0
2.217188, 0, 0, 0
2.217684, 0, 1, 0
2.2186915, 0, 0, 0
2.219188, 0, 1, 0
2.2201955, 0, 0, 0
2.220692, 0, 1, 0
2.2216995, 0, 0, 0
2.222196, 0, 1, 0
2.2232035, 0, 0, 0
2.2237, 0, 1, 0
2.2247745, 0, 0, 0
2.225271, 0, 1, 0
2.2262785, 0, 0, 0
2.2267745, 0, 1, 0
2.2272715, 1, 1, 0
2.227783, 1, 0, 0
2.228279, 1, 1, 0
2.2292875, 1, 0, 0
2.2297835, 1, 1, 0
2.2307915, 1, 0, 0
2.231288, 1, 1, 0
2.2323395, 1, 0, 0
2.232835, 1, 1, 0
2.23384, 1, 0, 0
2.2343355, 1, 1, 0
2.2353405, 1, 0, 0
2.235836, 1, 1, 0
2.236841, 1, 0, 0
2.2373365, 1, 1, 0
2.238341, 1, 0, 0
2.238837, 1, 1, 0
2.2398415, 1, 0, 0
2.2403375, 1, 1, 0
2.241342, 1, 0, 0
2.241838, 1, 1, 0
2.2428425, 1, 0, 0
2.2433385, 1, 1, 0
2.244343, 1, 0, 0
2.244839, 1, 1, 0
2.2458435, 1, 0, 0
2.2463395, 1, 1, 0
2.247344, 1, 0, 0
2.24784, 1, 1, 0
2.2488445, 1, 0, 0
2.2493405, 1, 1, 0
2.250345, 1, 0, 0
2.250841, 1, 1, 0
2.2518455, 1, 0, 0
2.2523415, 1, 1, 0
2.253346, 1, 0, 0
2.253842, 1, 1, 0
2.2548465, 1, 0, 0
2.255342, 1, 1, 0
2.256347, 1, 0, 0
2.2568425, 1, 1, 0
2.2578475, 1, 0, 0
2.258343, 1, 1, 0
2.259348, 1, 0, 0
2.2598435, 1, 1, 0
2.2608485, 1, 0, 0
2.261344, 1, 1, 0
2.262349, 1, 0, 0
2.2628445, 1, 1, 0
2.263849, 1, 0, 0
2.264345, 1, 1, 0
2.2653495, 1, 0, 0
2.2658455, 1, 1, 0
2.26685, 1, 0, 0
2.267346, 1, 1, 0
2.2683505, 1, 0, 0
2.2688465, 1, 1, 0
2.269851, 1, 0, 0
2.270347, 1, 1, 0
2.2713515, 1, 0, 0
2.2718475, 1, 1, 0
2.272852, 1, 0, 0
2.273348, 1, 1, 0
2.2743525, 1, 0, 0
2.2748485, 1, 1, 0
2.275853, 1, 0, 0
2.276349, 1, 1, 0
2.2773535, 1, 0, 0
2.2778495, 1, 1, 0
2.278854, 1, 0, 0
2.2793495, 1, 1, 0
2.2803545, 1, 0, 0
2.28085, 1, 1, 0
2.281855, 1, 0, 0
2.2823505, 1, 1, 0
2.2833555, 1, 0, 0
2.283851, 1, 1, 0
2.284856, 1, 0, 0
2.2853515, 1, 1, 0
2.2863565, 1, 0, 0
2.286852, 1, 1, 0
2.287857, 1, 0, 0
2.2883525, 1, 1, 0
2.289357, 1, 0, 0
2.289853, 1, 1, 0
2.2908575, 1, 0, 0
2.2913535, 1, 1, 0
2.292358, 1, 0, 0
2.292854, 1, 1, 0
2.2938585, 1, 0, 0
2.2943545, 1, 1, 0
2.295359, 1, 0, 0
2.295855, 1, 1, 0
2.2968595, 1, 0, 0
2.2973555, 1, 1, 0
2.29836, 1, 0, 0
2.298856, 1, 1, 0
2.2998605, 1, 0, 0
2.3003565, 1, 1, 0
2.301361, 1, 0, 0
2.301857, 1, 1, 0
2.3028615, 1, 0, 0
2.3033575, 1, 1, 0
2.304362, 1, 0, 0
2.3048575, 1, 1, 0
2.3058625, 1, 0, 0
2.306358, 1, 1, 0
2.307363, 1, 0, 0
2.3078585, 1, 1, 0
2.3088635, 1, 0, 0
2.309359, 1, 1, 0
2.310364, 1, 0, 0
2.3108595, 1, 1, 0
2.3118645, 1, 0, 0
2.31236, 1, 1, 0
2.3133645, 1, 0, 0
2.3138605, 1, 1, 0
2.314865, 1, 0, 0
2.315361, 1, 1, 0
2.3163655, 1, 0, 0
2.3168615, 1, 1, 0
2.317866, 1, 0, 0
2.318362, 1, 1, 0
2.3193665, 1, 0, 0
2.3198625, 1, 1, 0
2.320867, 1, 0, 0
2.321363, 1, 1, 0
2.3223675, 1, 0, 0
2.3228635, 1, 1, 0
2.323868, 1, 0, 0
2.324364, 1, 1, 0
2.3253685, 1, 0, 0
2.3258645, 1, 1, 0
2.326869, 1, 0, 0
2.327365, 1, 1, 0
2.3283695, 1, 0, 0
2.3288655, 1, 1, 0
2.32987, 1, 0, 0
2.3303655, 1, 1, 0
2.3313705, 1, 0, 0
2.331866, 1, 1, 0
2.332871, 1, 0, 0
2.3333665, 1, 1, 0
2.3343715, 1, 0, 0
2.334867, 1, 1, 0
2.335872, 1, 0, 0
2.3363675, 1, 1, 0
2.3373725, 1, 0, 0
2.337868, 1, 1, 0
2.3388725, 1, 0, 0
2.3393685, 1, 1, 0
2.340373, 1, 0, 0
2.340869, 1, 1, 0
2.3418735, 1, 0, 0
2.3423695, 1, 1, 0
2.343374, 1, 0, 0
2.34387, 1, 1, 0
2.3448745, 1, 0, 0
2.3453705, 1, 1, 0
2.346375, 1, 0, 0
2.346871, 1, 1, 0
2.3478755, 1, 0, 0
2.3483715, 1, 1, 0
2.349376, 1, 0, 0
2.349872, 1, 1, 0
2.3508765, 1, 0, 0
2.3513725, 1, 1, 0
2.352377, 1, 0, 0
2.352873, 1, 1, 0
2.3538775, 1, 0, 0
2.354373, 1, 1, 0
2.355378, 1, 0, 0
2.3558735, 1, 1, 0
2.3568785, 1, 0, 0
